No.,Mnemonic,Opcode,Total Cycles Number,Description
1.,\( \texttt{MOVAB} \),0b00000001,3,\( \texttt{REG_A} \leftarrow \texttt{REG_B} \)
2.,\( \texttt{MOVBA} \),0b00000010,3,\( \texttt{REG_B} \leftarrow \texttt{REG_A} \)
3.,\( \texttt{MOVAF} \),0b00000011,3,\( \texttt{REG_A} \leftarrow \texttt{REG_F} \)
4.,\( \texttt{MOVBF} \),0b00000100,3,\( \texttt{REG_B} \leftarrow \texttt{REG_F} \)
5.,\( \texttt{MOVATH} \),0b00000101,3,\( \texttt{REG_A} \leftarrow \texttt{REG_TMPH} \)
6.,\( \texttt{MOVBTH} \),0b00000110,3,\( \texttt{REG_B} \leftarrow \texttt{REG_TMPH} \)
7.,\( \texttt{MOVATL} \),0b00000111,3,\( \texttt{REG_A} \leftarrow \texttt{REG_TMPL} \)
8.,\( \texttt{MOVBTL} \),0b00001000,3,\( \texttt{REG_B} \leftarrow \texttt{REG_TMPL} \)
9.,\( \texttt{MOVTHA} \),0b00001001,3,\( \texttt{REG_TMPH} \leftarrow \texttt{REG_A} \)
10.,\( \texttt{MOVTHB} \),0b00001010,3,\( \texttt{REG_TMPH} \leftarrow \texttt{REG_B} \)
11.,\( \texttt{MOVTLA} \),0b00001011,3,\( \texttt{REG_TMPL} \leftarrow \texttt{REG_A} \)
12.,\( \texttt{MOVTLB} \),0b00001100,3,\( \texttt{REG_TMPL} \leftarrow \texttt{REG_B} \)
13.,\( \texttt{MOVAIMM} \),0b00001101,4,\( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_A} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \)
14.,\( \texttt{MOVBIMM} \),0b00001110,4,\( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_B} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \)
15.,\( \texttt{MOVAABS} \),0b00001111,8,\( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPH} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPL} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{REG_TMP} \) <br> \( \texttt{REG_A} \leftarrow \texttt{MEM[REG_MAR]} \)
16.,\( \texttt{MOVBABS} \),0b00010000,8,\( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPH} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPL} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{REG_TMP} \) <br> \( \texttt{REG_B} \leftarrow \texttt{MEM[REG_MAR]} \)
17.,\( \texttt{MOVABSA} \),0b00010001,8,\( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPH} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPL} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{REG_TMP} \) <br> \( \texttt{REG_MBR} \leftarrow \texttt{REG_A} \) <br> \( \texttt{MEM[REG_MAR]} \leftarrow \texttt{REG_MBR} \)
18.,\( \texttt{MOVABSB} \),0b00010010,8,\( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPH} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPL} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{REG_TMP} \) <br> \( \texttt{REG_MBR} \leftarrow \texttt{REG_B} \) <br> \( \texttt{MEM[REG_MAR]} \leftarrow \texttt{REG_MBR} \)
19.,\( \texttt{MOVABSIMM} \),0b00010011,10,\( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPH} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_TMPL} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{PC} \) <br> \( \texttt{REG_MBR} \leftarrow \texttt{MEM[REG_MAR]} \quad \& \quad \texttt{PC} \leftarrow \texttt{PC+1} \) <br> \( \texttt{REG_MAR} \leftarrow \texttt{REG_TMP} \) <br> \( \texttt{MEM[REG_MAR]} \leftarrow \texttt{REG_MBR} \)